case:concept:name,concept:name,time:timestamp
1,A,2023-10-01 10:00:00
1,B,2023-10-01 10:05:00
1,G,2023-10-01 10:30:00
1,H,2023-10-01 10:35:00
2,A,2023-10-01 11:00:00
2,C,2023-10-01 11:05:00
2,D,2023-10-01 11:10:00
2,E,2023-10-01 11:15:00
2,F,2023-10-01 11:20:00
2,G,2023-10-01 11:30:00
2,H,2023-10-01 11:35:00
3,A,2023-10-01 12:00:00
3,C,2023-10-01 12:05:00
3,E,2023-10-01 12:10:00
3,D,2023-10-01 12:15:00
3,F,2023-10-01 12:20:00
3,G,2023-10-01 12:30:00
3,H,2023-10-01 12:35:00
4,A,2023-10-01 13:00:00
4,B,2023-10-01 13:05:00
4,G,2023-10-01 13:30:00
4,H,2023-10-01 13:35:00
5,A,2023-10-01 14:00:00
5,B,2023-10-01 14:05:00
5,G,2023-10-01 14:30:00
5,H,2023-10-01 14:35:00
6,A,2023-10-01 15:00:00
6,C,2023-10-01 15:05:00
6,D,2023-10-01 15:10:00
6,E,2023-10-01 15:15:00
6,F,2023-10-01 15:20:00
6,G,2023-10-01 15:30:00
6,H,2023-10-01 15:35:00
7,A,2023-10-01 16:00:00
7,B,2023-10-01 16:05:00
7,G,2023-10-01 16:30:00
7,H,2023-10-01 16:35:00
8,A,2023-10-01 17:00:00
8,C,2023-10-01 17:05:00
8,E,2023-10-01 17:10:00
8,D,2023-10-01 17:15:00
8,F,2023-10-01 17:20:00
8,G,2023-10-01 17:30:00
8,H,2023-10-01 17:35:00
9,A,2023-10-01 18:00:00
9,B,2023-10-01 18:05:00
9,G,2023-10-01 18:30:00
9,H,2023-10-01 18:35:00
10,A,2023-10-01 19:00:00
10,B,2023-10-01 19:05:00
10,G,2023-10-01 19:30:00
10,H,2023-10-01 19:35:00
