file,End-to-End,Fragment-Level,"Fragment-Level, >=2 activities",Local-Strict,"Local-Strict, >=2 activities",Total Forced Volume,AS-Resolved Volume,AS-Resolved PAR-only,AS-Resolved LOOP-only,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,Max Fractional Exposure,Avg Fractional Exposure,Mean Absolute Exposure Volume
sample_log.csv,60.0,100.0,100.0,100.0,100.0,100.0,40.0,40.0,0.0,0.0,100.0,100.0,100.0,84.62,100.0,100.0,100.0,100.0,5.2
test_01_seq_par.csv,0.0,25.0,0.0,75.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,50.0,100.0,100.0,100.0,100.0,4.0
test_02_seq_xor.csv,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.0
test_03_loop_std.csv,0.0,20.0,0.0,80.0,0.0,5.0,5.0,0.0,5.0,0.0,100.0,100.0,100.0,40.0,40.0,100.0,7.79,29.0,1.34
test_04_par_xor.csv,0.0,33.33,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,33.33,100.0,100.0,100.0,100.0,3.0
test_05_xor_seq.csv,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2.5
test_06_xor_xor.csv,5.88,100.0,72.55,100.0,72.55,5.88,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.59
test_07_par_par.csv,0.0,20.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,5.0
test_08_xor_loop.csv,61.54,100.0,93.54,100.0,93.54,65.38,3.85,0.0,3.85,0.0,100.0,100.0,100.0,68.0,68.0,100.0,74.95,100.0,2.55
test_09_deep_seq.csv,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.0
test_10_nested_par.csv,0.0,20.0,0.0,80.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,5.0
test_10_xor_loop.csv,0.0,18.75,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,18.75,18.75,100.0,4.55,18.75,1.0
test_11_nesting.csv,12.5,19.4,12.5,100.0,100.0,62.5,37.5,12.5,12.5,12.5,100.0,100.0,100.0,10.34,24.14,100.0,66.5,79.74,2.35
test_12_skiping.csv,0.0,18.52,0.0,88.89,0.0,100.0,0.0,0.0,0.0,100.0,92.06,100.0,100.0,37.04,100.0,100.0,100.0,100.0,5.4
test_13_deepLoop.csv,0.0,6.25,0.0,100.0,6.25,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,6.25,50.0,100.0,5.77,18.75,1.2
test_14_asymTree.csv,0.0,6.45,0.0,96.77,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,18.18,51.52,100.0,100.0,100.0,4.33
test_15_loop3.csv,0.0,9.09,0.0,100.0,0.0,40.0,0.0,0.0,0.0,40.0,90.51,100.0,100.0,18.18,69.09,100.0,57.24,77.24,5.25
test_16_tauabiyss.csv,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3.88
test_17_spagetti.csv,0.0,14.29,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,36.59,100.0,100.0,100.0,100.0,7.0
test_18_inter_loop.csv,0.0,0.0,0.0,100.0,37.04,33.33,0.0,0.0,0.0,33.33,100.0,0.0,100.0,0.0,55.56,100.0,33.33,33.33,3.0
test_19_phantomBranch.csv,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,52.94,76.47,100.0,100.0,100.0,3.22
test_20_loopDouble.csv,0.0,14.96,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,87.38,100.0,100.0,26.32,73.68,100.0,100.0,100.0,6.69
test_21_wildCards.csv,15.0,53.96,23.38,92.92,23.38,70.0,55.0,55.0,0.0,0.0,100.0,100.0,100.0,61.04,100.0,100.0,100.0,100.0,3.28
test_22_precTest.csv,0.0,14.29,0.0,85.71,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,28.57,100.0,100.0,100.0,100.0,7.0
test_23_precTest2.csv,0.0,60.0,40.0,100.0,40.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,60.0,100.0,100.0,100.0,100.0,5.0
test_24_zero_redo.csv,60.0,98.46,60.0,100.0,60.0,60.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,65.38,65.38,100.0,72.5,98.46,1.6
test_25_massive.csv,0.0,45.24,28.57,100.0,28.57,75.0,75.0,70.0,0.0,0.0,100.0,100.0,100.0,30.95,78.57,100.0,99.36,100.0,3.52
test_26_loop_par_noxor.csv,0.0,13.99,0.0,86.01,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,27.97,27.97,100.0,100.0,100.0,7.15
test_27_par_loop_noxor.csv,0.0,14.93,0.0,85.07,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,29.85,44.78,100.0,100.0,100.0,6.7
