file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total
pdc2021_000011.xes,0.0,1.0,0.10905595466963469,0.00,65.60,0.00,65.60,90.03,100.00,94.47,5.42,38.11,100.00
pdc2021_000011.xes,0.2,0.9802085735708536,0.2308651381866038,0.00,0.00,0.00,0.00,93.17,98.31,95.72,6.72,47.34,99.88
pdc2021_000011.xes,0.4,0.9122165297448737,0.36674103312167494,0.00,0.00,0.00,0.00,94.23,98.24,94.95,6.72,45.52,99.88
pdc2021_000011.xes,0.6,0.8649681276479276,0.5398361876396128,0.00,0.00,0.00,0.00,93.40,88.71,93.66,19.26,64.20,99.08
pdc2021_000011.xes,0.8,0.8250692179291732,0.5514511873350924,0.00,0.00,0.00,0.00,92.37,93.01,95.87,26.67,77.24,98.95
pdc2021_000011.xes,1.0,0.8459607342854834,0.17963929757949693,0.00,0.00,0.00,0.00,100.00,100.00,100.00,34.83,34.83,100.00
pdc2021_000100.xes,0.0,1.0,0.14030459287684371,0.00,100.00,0.00,100.00,81.54,100.00,100.00,3.72,53.00,100.00
pdc2021_000100.xes,0.2,0.9636950404684792,0.27560504279009845,0.00,100.00,0.00,100.00,87.57,100.00,99.82,3.73,58.54,100.00
pdc2021_000100.xes,0.4,0.9043922421583888,0.42182439726520327,0.00,100.00,0.00,100.00,91.90,100.00,98.30,3.72,74.92,100.00
pdc2021_000100.xes,0.6,0.8754108600117626,0.6251378169790518,0.00,100.00,0.00,100.00,96.54,100.00,99.59,3.73,77.23,100.00
pdc2021_000100.xes,0.8,0.8130600296615295,0.43733489873789255,0.00,100.00,0.00,100.00,87.41,100.00,99.72,3.87,92.23,100.00
pdc2021_000100.xes,1.0,0.8936711814501289,0.047157489516738815,26.40,27.20,0.80,0.00,100.00,100.00,100.00,49.75,49.75,99.87
pdc2021_001011.xes,0.0,1.0,0.10673904630414088,0.00,72.80,0.00,72.80,81.09,100.00,100.00,5.65,65.03,100.00
pdc2021_001011.xes,0.2,0.9576771780917906,0.2639373262572656,0.00,54.40,0.00,54.40,93.28,97.97,99.68,5.65,46.13,99.80
pdc2021_001011.xes,0.4,0.9148451339573809,0.37868002460673167,0.00,0.00,0.00,0.00,94.39,96.22,99.22,7.15,40.92,99.70
pdc2021_001011.xes,0.6,0.8560542328619614,0.4931889053011653,0.00,0.00,0.00,0.00,94.09,86.53,92.57,15.76,42.32,98.57
pdc2021_001011.xes,0.8,0.8238330041287004,0.45044266896998486,0.00,0.00,0.00,0.00,88.30,88.60,93.81,17.77,67.27,97.85
pdc2021_001011.xes,1.0,0.838443751819412,0.19682854311199205,0.00,0.00,0.00,0.00,100.00,100.00,100.00,36.70,36.70,100.00
pdc2021_001101.xes,0.0,1.0,0.13249651324965128,0.00,24.40,0.00,24.40,81.11,100.00,100.00,9.50,60.71,100.00
pdc2021_001101.xes,0.2,0.975943555603895,0.2804424614240565,0.00,0.00,0.00,0.00,93.79,99.26,99.79,11.42,53.27,99.85
pdc2021_001101.xes,0.4,0.9314418621856966,0.32302655511094946,0.00,0.00,0.00,0.00,93.81,99.26,99.79,11.58,54.01,100.00
pdc2021_001101.xes,0.6,0.8181728468990936,0.7052810902896082,0.00,0.00,0.00,0.00,97.93,94.09,96.25,21.06,50.47,97.46
pdc2021_001101.xes,0.8,0.7837906918254022,0.6870229007633588,0.00,0.00,0.00,0.00,90.31,90.35,93.20,30.55,85.05,95.80
pdc2021_001101.xes,1.0,0.7759144427924051,0.34964639321074964,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.08,43.40,100.00
pdc2021_001110.xes,0.0,1.0,0.14290925975059698,0.00,7.60,0.00,7.60,88.93,100.00,100.00,13.09,51.46,100.00
pdc2021_001110.xes,0.2,0.9728866555122819,0.29589314573628667,0.00,0.00,0.00,0.00,91.24,94.13,97.21,17.84,57.85,99.67
pdc2021_001110.xes,0.4,0.9097825969271455,0.546038967461181,0.00,0.00,0.00,0.00,92.36,91.95,93.20,34.47,62.69,95.52
pdc2021_001110.xes,0.6,0.8368240578991507,0.7285012285012284,0.00,0.00,0.00,0.00,92.76,88.62,91.15,31.49,60.36,98.39
pdc2021_001110.xes,0.8,0.8046251095677678,0.4773434797647873,0.00,0.00,0.00,0.00,87.70,98.56,99.55,14.62,93.25,100.00
pdc2021_001110.xes,1.0,0.7909345051731147,0.23465389638659118,0.00,0.00,0.00,0.00,99.06,98.57,98.57,58.62,58.62,100.00
pdc2021_010001.xes,0.0,1.0,0.09390603425756616,0.00,81.60,0.00,81.60,88.61,100.00,99.17,4.54,60.21,100.00
pdc2021_010001.xes,0.2,0.9817386485034117,0.1588723122301543,0.00,0.00,0.00,0.00,93.88,96.61,99.30,5.89,37.94,99.68
pdc2021_010001.xes,0.4,0.9279850563925814,0.37922966162706984,0.00,0.00,0.00,0.00,94.98,96.61,99.33,5.89,38.16,99.56
pdc2021_010001.xes,0.6,0.8759916001050374,0.5289072426937738,0.00,0.00,0.00,0.00,96.40,83.40,85.71,12.00,25.58,94.94
pdc2021_010001.xes,0.8,0.8031294382817079,0.471704078406576,0.00,0.00,0.00,0.00,95.47,93.44,94.05,15.85,54.27,97.87
pdc2021_010001.xes,1.0,0.8579283047618315,0.16518547140649154,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.32,32.32,100.00
pdc2021_011001.xes,0.0,1.0,0.0707573398576512,0.00,100.00,0.00,100.00,85.09,100.00,98.98,4.47,61.79,100.00
pdc2021_011001.xes,0.2,0.9827980188003713,0.1653498732432499,0.00,0.00,0.00,0.00,94.79,98.08,99.64,5.79,41.00,100.00
pdc2021_011001.xes,0.4,0.946350978143758,0.4769789983844911,0.00,0.00,0.00,0.00,93.88,87.11,93.48,12.11,42.54,98.87
pdc2021_011001.xes,0.6,0.8920425726965447,0.5907007203667322,0.00,0.00,0.00,0.00,90.98,80.30,85.25,17.16,28.98,94.42
pdc2021_011001.xes,0.8,0.8210636176745117,0.3982436044291714,0.00,78.40,0.00,78.40,88.10,100.00,100.00,4.54,45.50,100.00
pdc2021_011001.xes,1.0,0.7763082800494724,0.05899632802937571,0.00,0.00,0.00,0.00,100.00,100.00,100.00,32.89,32.89,99.94
pdc2021_011011.xes,0.0,1.0,0.09208171947197086,0.00,76.80,0.00,76.80,90.85,100.00,97.95,4.29,51.88,100.00
