file,noise,fitness,precision,XOR Operators,LOOP Operators,SEQ Operators,PAR Operators,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Resolved PAR-only,AS-Resolved LOOP-only,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total
sampled-log.xml,0.0,1.0,0.11255440234041192,27,10,13,6,0.00,34.80,0.00,0.00,0.00,34.80,69.53,100.00,100.00,3.69,71.30,100.00
sampled-log.xml,0.2,0.983101272138916,0.19843915641033372,16,13,12,5,0.00,34.80,0.00,0.00,0.00,34.80,79.19,97.47,99.54,3.76,80.98,100.00
sampled-log.xml,0.4,0.9025394339498655,0.22757949165631397,16,9,14,2,136.31,2106.03,57.54,0.00,57.54,1912.19,65.44,34.31,54.42,17.67,36.29,96.82
sampled-log.xml,0.6,0.9042837609726815,0.22757949165631397,16,11,15,2,136.31,2106.03,57.54,0.00,57.54,1912.19,65.97,34.25,54.77,17.52,36.00,97.17
sampled-log.xml,0.8,0.9226821524600071,0.2747355194357748,14,11,14,0,733.29,1309.05,575.75,0.00,575.75,0.00,61.08,30.19,30.19,17.95,17.95,97.10
sampled-log.xml,1.0,0.9405753227595707,0.4914065033460099,6,7,3,0,4652.14,8989.20,4337.06,0.00,4337.06,0.00,42.47,11.46,11.46,5.19,5.19,100.00
frequency-log.xml,0.0,1.0,0.11053707945307456,27,10,13,6,0.00,34.97,0.00,0.00,0.00,34.97,69.34,100.00,100.00,3.66,71.22,100.00
frequency-log.xml,0.2,0.9829826470207136,0.1998953951614698,16,12,12,5,0.00,34.97,0.00,0.00,0.00,34.97,79.24,100.00,99.64,3.74,81.07,100.00
frequency-log.xml,0.4,0.9029320318005943,0.22732299031598702,16,9,14,2,141.56,2112.49,63.34,0.00,63.34,1907.60,65.33,34.12,54.20,17.48,36.02,96.78
frequency-log.xml,0.6,0.9230650911688328,0.27444475909219623,14,11,14,0,735.97,1315.51,579.54,0.00,579.54,0.00,60.99,30.00,30.00,17.76,17.76,97.10
frequency-log.xml,0.8,0.9230650911688328,0.27444475909219623,14,11,14,0,735.97,1315.51,579.54,0.00,579.54,0.00,60.99,30.00,30.00,17.76,17.76,97.10
frequency-log.xml,1.0,0.9409343163944467,0.49223163841807904,6,7,3,0,4684.37,9055.87,4371.50,0.00,4371.50,0.00,42.61,11.48,11.48,5.16,5.16,100.00
simulated-log.xml,0.0,1.0,0.05663436675442235,60,5,15,1,0.00,2.30,2.30,2.30,0.00,0.00,96.01,90.34,93.59,11.85,23.30,28.57
simulated-log.xml,0.2,0.998336638090275,0.07666162491278661,66,29,26,15,0.00,2.30,2.30,2.30,0.00,0.00,92.76,90.06,95.87,11.85,41.10,100.00
simulated-log.xml,0.4,0.9522864141463664,0.5230682502466336,63,14,33,4,0.00,281.76,0.00,0.00,0.00,281.76,73.31,88.31,95.69,11.85,47.51,97.76
simulated-log.xml,0.6,0.9087799184141458,0.5866030495730754,56,14,33,4,0.00,0.00,0.00,0.00,0.00,0.00,71.80,93.28,96.59,11.99,48.06,98.82
simulated-log.xml,0.8,0.6766514420418771,0.8684620691417329,55,15,32,5,0.00,9.58,0.00,0.00,0.00,9.58,64.55,91.57,95.35,13.55,52.13,97.95
simulated-log.xml,1.0,0.4881975068248287,0.6031296326799539,51,43,12,1,0.00,0.00,0.00,0.00,0.00,0.00,81.75,79.69,81.47,55.22,68.65,100.00
random-log.xml,0.0,1.0,0.12229357931077034,29,12,14,5,0.00,100.00,0.00,0.00,0.00,100.00,86.14,100.00,100.00,3.38,59.46,100.00
random-log.xml,0.2,0.9668347823830509,0.3891656346777995,15,14,10,5,0.00,0.00,0.00,0.00,0.00,0.00,73.95,38.89,54.80,3.61,24.38,98.06
random-log.xml,0.4,0.9550326243513891,0.2836094649076063,18,12,10,4,0.00,2334.96,0.00,0.00,0.00,2334.96,88.18,55.67,81.69,3.61,28.50,100.00
random-log.xml,0.6,0.9129656310453232,0.4107230092818759,15,13,13,2,727.94,727.94,0.00,0.00,0.00,0.00,74.52,49.07,49.19,16.76,17.02,96.72
random-log.xml,0.8,0.9042670904877355,0.42251102797476126,16,14,12,2,1158.48,1158.48,0.00,0.00,0.00,0.00,73.00,48.28,48.39,16.75,17.01,96.72
random-log.xml,1.0,0.9153169312423743,0.4177466771562254,11,10,2,0,6173.79,6173.79,0.00,0.00,0.00,0.00,60.01,19.51,19.51,5.32,5.32,100.00
clustered-log.xml,0.0,1.0,0.11833594954504922,29,12,14,5,0.00,100.00,0.00,0.00,0.00,100.00,85.96,100.00,100.00,3.35,59.66,100.00
clustered-log.xml,0.2,0.96728354498496,0.38996686968055094,15,14,10,5,0.00,0.00,0.00,0.00,0.00,0.00,73.66,38.95,54.50,3.58,24.22,98.13
clustered-log.xml,0.4,0.9553260197190402,0.284101186686595,18,12,10,4,0.00,2387.96,0.00,0.00,0.00,2387.96,88.37,55.60,81.97,3.58,28.88,100.00
clustered-log.xml,0.6,0.9125645489597802,0.41126998053354535,15,13,13,2,728.50,728.50,0.00,0.00,0.00,0.00,74.17,47.78,47.90,16.66,16.92,96.66
clustered-log.xml,0.8,0.9039845406379216,0.42299503694095086,16,14,12,2,1155.06,1155.06,0.00,0.00,0.00,0.00,72.66,47.08,47.20,16.65,16.92,96.66
clustered-log.xml,1.0,0.915798192519406,0.4182886701430524,11,10,2,0,6226.01,6226.01,0.00,0.00,0.00,0.00,60.25,19.53,19.53,5.28,5.28,100.00
reduced-log.xml,0.0,1.0,0.13920842466034078,26,11,14,5,0.00,100.00,0.00,0.00,0.00,100.00,86.07,100.00,99.68,3.39,59.57,100.00
reduced-log.xml,0.2,0.9766778987671495,0.4439210114990616,10,11,9,4,0.00,0.00,0.00,0.00,0.00,0.00,77.12,36.68,45.19,3.68,14.49,100.00
reduced-log.xml,0.4,0.9416062145314763,0.3083130961504723,17,11,13,2,1962.21,3615.77,0.00,0.00,0.00,1653.56,78.92,41.86,61.43,11.00,27.52,100.00
reduced-log.xml,0.6,0.9233291882174668,0.4695079938692577,14,12,13,0,1963.29,1963.29,0.00,0.00,0.00,0.00,73.25,44.82,44.82,16.84,16.84,96.71
reduced-log.xml,0.8,0.9147103395333802,0.5234403781186558,14,12,12,0,2395.04,2395.04,0.00,0.00,0.00,0.00,71.94,44.41,44.41,16.84,16.84,96.71
reduced-log.xml,1.0,0.9167647178754138,0.47863419389056927,9,8,2,0,6204.44,6204.44,0.00,0.00,0.00,0.00,59.20,18.11,18.11,5.31,5.31,100.00
full-log.xml,0.0,1.0,0.1406587530076867,29,12,14,5,0.00,100.00,0.00,0.00,0.00,100.00,89.21,100.00,100.00,4.32,60.88,100.00
full-log.xml,0.2,0.9783033286723556,0.24485150997695326,22,11,12,4,14.82,114.82,0.00,0.00,0.00,100.00,79.93,38.44,80.75,4.32,50.89,100.00
full-log.xml,0.4,0.9465005414893838,0.2711227459211907,20,12,11,5,0.00,2571.10,0.00,0.00,0.00,2571.10,80.82,56.97,82.57,4.32,13.06,100.00
full-log.xml,0.6,0.8919038981667766,0.3611684381172643,19,13,14,4,0.00,1112.94,0.00,0.00,0.00,1112.94,78.16,61.97,73.93,19.00,40.28,95.94
