file,noise,fitness,precision,End-to-End,Total Forced Volume,AS-Resolved Volume,AS-Opaque Volume,Data Exposure,Data Exposure ST-only,Data Exposure ST+ST-in-PAR,Data Coverage ST-only,Data Coverage ST+ST-in-PAR,Data Coverage Total,SEQ share,XOR share,PAR share,LOOP share,AS-Resolved PAR-only
pdc2021_000011.xes,0.0,1.0,0.10905595466963469,0.00,65.60,0.00,65.60,90.03,100.00,94.47,5.42,38.11,100.00,0.29069767441860467,0.5,0.08139534883720931,0.12790697674418605,0.00
pdc2021_000011.xes,0.2,0.9802085735708536,0.2308651381866038,0.00,0.00,0.00,0.00,93.17,98.31,95.72,6.72,47.34,99.88,0.29545454545454547,0.3977272727272727,0.10227272727272728,0.20454545454545456,0.00
pdc2021_000011.xes,0.4,0.9122165297448737,0.36674103312167494,0.00,0.00,0.00,0.00,94.23,98.24,94.95,6.72,45.52,99.88,0.3373493975903614,0.3614457831325301,0.08433734939759036,0.21686746987951808,0.00
pdc2021_000011.xes,0.6,0.8649681276479276,0.5398361876396128,0.00,0.00,0.00,0.00,93.40,88.71,93.66,19.26,64.20,99.08,0.358974358974359,0.3076923076923077,0.08974358974358974,0.24358974358974358,0.00
pdc2021_000011.xes,0.8,0.8250692179291732,0.5514511873350924,0.00,0.00,0.00,0.00,92.37,93.01,95.87,26.67,77.24,98.95,0.33766233766233766,0.3116883116883117,0.09090909090909091,0.2597402597402597,0.00
pdc2021_000011.xes,1.0,0.8459607342854834,0.17963929757949693,0.00,0.00,0.00,0.00,100.00,100.00,100.00,34.83,34.83,100.00,0.16666666666666666,0.5,0.0,0.3333333333333333,0.00
pdc2021_000100.xes,0.0,1.0,0.14030459287684371,0.00,100.00,0.00,100.00,81.54,100.00,100.00,3.72,53.00,100.00,0.2391304347826087,0.4782608695652174,0.11956521739130435,0.16304347826086957,0.00
pdc2021_000100.xes,0.2,0.9636950404684792,0.27560504279009845,0.00,100.00,0.00,100.00,87.57,100.00,99.82,3.73,58.54,100.00,0.29069767441860467,0.3372093023255814,0.11627906976744186,0.2558139534883721,0.00
pdc2021_000100.xes,0.4,0.9043922421583888,0.42182439726520327,0.00,100.00,0.00,100.00,91.90,100.00,98.30,3.72,74.92,100.00,0.3333333333333333,0.358974358974359,0.11538461538461539,0.19230769230769232,0.00
pdc2021_000100.xes,0.6,0.8754108600117626,0.6251378169790518,0.00,100.00,0.00,100.00,96.54,100.00,99.59,3.73,77.23,100.00,0.35135135135135137,0.35135135135135137,0.0945945945945946,0.20270270270270271,0.00
pdc2021_000100.xes,0.8,0.8130600296615295,0.43733489873789255,0.00,100.00,0.00,100.00,87.41,100.00,99.72,3.87,92.23,100.00,0.323943661971831,0.2676056338028169,0.14084507042253522,0.2676056338028169,0.00
pdc2021_000100.xes,1.0,0.8936711814501289,0.047157489516738815,26.40,27.20,0.80,0.00,100.00,100.00,100.00,49.75,49.75,99.87,0.125,0.625,0.0,0.25,0.00
pdc2021_001011.xes,0.0,1.0,0.10673904630414088,0.00,72.80,0.00,72.80,81.09,100.00,100.00,5.65,65.03,100.00,0.20192307692307693,0.47115384615384615,0.14423076923076922,0.18269230769230768,0.00
pdc2021_001011.xes,0.2,0.9576771780917906,0.2639373262572656,0.00,54.40,0.00,54.40,93.28,97.97,99.68,5.65,46.13,99.80,0.2826086956521739,0.41304347826086957,0.09782608695652174,0.20652173913043478,0.00
pdc2021_001011.xes,0.4,0.9148451339573809,0.37868002460673167,0.00,0.00,0.00,0.00,94.39,96.22,99.22,7.15,40.92,99.70,0.3146067415730337,0.39325842696629215,0.07865168539325842,0.21348314606741572,0.00
pdc2021_001011.xes,0.6,0.8560542328619614,0.4931889053011653,0.00,0.00,0.00,0.00,94.09,86.53,92.57,15.76,42.32,98.57,0.3684210526315789,0.35526315789473684,0.07894736842105263,0.19736842105263158,0.00
pdc2021_001011.xes,0.8,0.8238330041287004,0.45044266896998486,0.00,0.00,0.00,0.00,88.30,88.60,93.81,17.77,67.27,97.85,0.2911392405063291,0.3291139240506329,0.12658227848101267,0.25316455696202533,0.00
pdc2021_001011.xes,1.0,0.838443751819412,0.19682854311199205,0.00,0.00,0.00,0.00,100.00,100.00,100.00,36.70,36.70,100.00,0.16666666666666666,0.5,0.0,0.3333333333333333,0.00
pdc2021_001101.xes,0.0,1.0,0.13249651324965128,0.00,24.40,0.00,24.40,81.11,100.00,100.00,9.50,60.71,100.00,0.20930232558139536,0.43023255813953487,0.13953488372093023,0.22093023255813954,0.00
pdc2021_001101.xes,0.2,0.975943555603895,0.2804424614240565,0.00,0.00,0.00,0.00,93.79,99.26,99.79,11.42,53.27,99.85,0.29333333333333333,0.37333333333333335,0.09333333333333334,0.24,0.00
pdc2021_001101.xes,0.4,0.9314418621856966,0.32302655511094946,0.00,0.00,0.00,0.00,93.81,99.26,99.79,11.58,54.01,100.00,0.3013698630136986,0.3561643835616438,0.0958904109589041,0.2465753424657534,0.00
pdc2021_001101.xes,0.6,0.8181728468990936,0.7052810902896082,0.00,0.00,0.00,0.00,97.93,94.09,96.25,21.06,50.47,97.46,0.3548387096774194,0.3064516129032258,0.0967741935483871,0.24193548387096775,0.00
pdc2021_001101.xes,0.8,0.7837906918254022,0.6870229007633588,0.00,0.00,0.00,0.00,90.31,90.35,93.20,30.55,85.05,95.80,0.29577464788732394,0.29577464788732394,0.1267605633802817,0.28169014084507044,0.00
pdc2021_001101.xes,1.0,0.7759144427924051,0.34964639321074964,0.00,0.00,0.00,0.00,100.00,100.00,100.00,33.08,43.40,100.00,0.25,0.4,0.05,0.3,0.00
pdc2021_001110.xes,0.0,1.0,0.14290925975059698,0.00,7.60,0.00,7.60,88.93,100.00,100.00,13.09,51.46,100.00,0.23529411764705882,0.47058823529411764,0.11764705882352941,0.17647058823529413,0.00
pdc2021_001110.xes,0.2,0.9728866555122819,0.29589314573628667,0.00,0.00,0.00,0.00,91.24,94.13,97.21,17.84,57.85,99.67,0.30864197530864196,0.37037037037037035,0.09876543209876543,0.2222222222222222,0.00
