Operators,Bias,ST_count,AS_count,Outcome,Error
SEQ_SEQ_SEQ,Balanced,15,0,ST only,
SEQ_SEQ_SEQ,Left,15,0,ST only,
SEQ_SEQ_SEQ,Right,15,0,ST only,
SEQ_SEQ_XOR,Balanced,15,0,ST only,
SEQ_SEQ_XOR,Left,15,0,ST only,
SEQ_SEQ_XOR,Right,15,0,ST only,
SEQ_SEQ_PAR,Balanced,11,1,Mixed (ST+AS),
SEQ_SEQ_PAR,Left,11,1,Mixed (ST+AS),
SEQ_SEQ_PAR,Right,11,1,Mixed (ST+AS),
SEQ_SEQ_LOOP,Balanced,16,1,Mixed (ST+AS),
SEQ_SEQ_LOOP,Left,16,1,Mixed (ST+AS),
SEQ_SEQ_LOOP,Right,11,1,Mixed (ST+AS),
SEQ_XOR_SEQ,Balanced,15,0,ST only,
SEQ_XOR_SEQ,Left,15,0,ST only,
SEQ_XOR_SEQ,Right,15,0,ST only,
SEQ_XOR_XOR,Balanced,4,0,ST only,
SEQ_XOR_XOR,Left,10,0,ST only,
SEQ_XOR_XOR,Right,10,0,ST only,
SEQ_XOR_PAR,Balanced,10,1,Mixed (ST+AS),
SEQ_XOR_PAR,Left,10,1,Mixed (ST+AS),
SEQ_XOR_PAR,Right,10,1,Mixed (ST+AS),
SEQ_XOR_LOOP,Balanced,5,1,Mixed (ST+AS),
SEQ_XOR_LOOP,Left,4,1,Mixed (ST+AS),
SEQ_XOR_LOOP,Right,4,1,Mixed (ST+AS),
SEQ_PAR_SEQ,Balanced,11,1,Mixed (ST+AS),
SEQ_PAR_SEQ,Left,11,1,Mixed (ST+AS),
SEQ_PAR_SEQ,Right,11,1,Mixed (ST+AS),
SEQ_PAR_XOR,Balanced,10,1,Mixed (ST+AS),
SEQ_PAR_XOR,Left,10,1,Mixed (ST+AS),
SEQ_PAR_XOR,Right,10,1,Mixed (ST+AS),
SEQ_PAR_PAR,Balanced,7,2,Mixed (ST+AS),
SEQ_PAR_PAR,Left,7,2,Mixed (ST+AS),
SEQ_PAR_PAR,Right,7,2,Mixed (ST+AS),
SEQ_PAR_LOOP,Balanced,11,2,Mixed (ST+AS),
SEQ_PAR_LOOP,Left,11,2,Mixed (ST+AS),
SEQ_PAR_LOOP,Right,11,2,Mixed (ST+AS),
SEQ_LOOP_SEQ,Balanced,16,1,Mixed (ST+AS),
SEQ_LOOP_SEQ,Left,16,1,Mixed (ST+AS),
SEQ_LOOP_SEQ,Right,16,1,Mixed (ST+AS),
SEQ_LOOP_XOR,Balanced,5,1,Mixed (ST+AS),
SEQ_LOOP_XOR,Left,4,1,Mixed (ST+AS),
SEQ_LOOP_XOR,Right,11,1,Mixed (ST+AS),
SEQ_LOOP_PAR,Balanced,11,2,Mixed (ST+AS),
SEQ_LOOP_PAR,Left,11,2,Mixed (ST+AS),
SEQ_LOOP_PAR,Right,7,2,Mixed (ST+AS),
SEQ_LOOP_LOOP,Balanced,6,2,Mixed (ST+AS),
SEQ_LOOP_LOOP,Left,4,2,Mixed (ST+AS),
SEQ_LOOP_LOOP,Right,5,2,Mixed (ST+AS),
XOR_SEQ_SEQ,Balanced,10,0,ST only,
XOR_SEQ_SEQ,Left,10,0,ST only,
XOR_SEQ_SEQ,Right,10,0,ST only,
XOR_SEQ_XOR,Balanced,7,0,ST only,
XOR_SEQ_XOR,Left,7,0,ST only,
XOR_SEQ_XOR,Right,7,0,ST only,
XOR_SEQ_PAR,Balanced,7,1,Mixed (ST+AS),
XOR_SEQ_PAR,Left,7,1,Mixed (ST+AS),
XOR_SEQ_PAR,Right,7,1,Mixed (ST+AS),
XOR_SEQ_LOOP,Balanced,8,1,Mixed (ST+AS),
XOR_SEQ_LOOP,Left,7,1,Mixed (ST+AS),
XOR_SEQ_LOOP,Right,8,1,Mixed (ST+AS),
XOR_XOR_SEQ,Balanced,7,0,ST only,
XOR_XOR_SEQ,Left,7,0,ST only,
XOR_XOR_SEQ,Right,7,0,ST only,
XOR_XOR_XOR,Balanced,4,0,ST only,
XOR_XOR_XOR,Left,4,0,ST only,
XOR_XOR_XOR,Right,4,0,ST only,
XOR_XOR_PAR,Balanced,4,1,Mixed (ST+AS),
XOR_XOR_PAR,Left,4,1,Mixed (ST+AS),
XOR_XOR_PAR,Right,4,1,Mixed (ST+AS),
XOR_XOR_LOOP,Balanced,5,1,Mixed (ST+AS),
