Source,File,Fitness,Precision,Total Cases in Log,Unique Activities,XOR Operators,LOOP Operators,SEQ Operators,PAR Operators,Nested LOOPs,Nested PARs,Total Found Patterns,Verified Patterns,Discrepancy Patterns,Ghost Patterns,"Tree Exposure (Strict, End-to-End % of N)","Tree Exposure (Strict, Fragment-Level % of N)","Total Forced Volume (incl. unresolved AS, % of N)",AS-Resolved Volume (% of N),AS-Opaque Volume (% of N),Data Exposure (Confirmed % of Claimed Volume),Skipped (Complexity > 1000),Ghost Ratio %,Operator Mix
stress_tests,test_15_loop3.csv,1.0,0.19718309859154926,5.0,8.0,8.0,4.0,5.0,2.0,4.0,2.0,43.0,20.0,7.0,0.0,0.0,9.09,40.0,0.0,40.0,79.31,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_18_inter_loop.csv,1.0,0.30188679245283023,3.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,10.0,7.0,1.0,0.0,0.0,0.0,33.33,0.0,33.33,92.31,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_20_loopDouble.csv,1.0,0.33793103448275863,5.0,7.0,5.0,4.0,3.0,3.0,4.0,3.0,24.0,15.0,2.0,1.0,0.0,14.96,100.0,0.0,100.0,88.17,0.0,5.56,SEQ+XOR+PAR+LOOP
InterleaveData,dataset_04_par_heavy.csv,1.0,0.42359102772095647,1000.0,20.0,1.0,1.0,6.0,12.0,1.0,12.0,51.0,43.0,0.0,0.0,,,,,,,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_14_asymTree.csv,1.0,0.48453608247422686,5.0,8.0,4.0,2.0,4.0,2.0,2.0,2.0,23.0,17.0,0.0,0.0,0.0,6.45,0.0,0.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_12_skiping.csv,1.0,0.564516129032258,5.0,6.0,2.0,1.0,3.0,2.0,1.0,2.0,20.0,12.0,2.0,0.0,0.0,18.52,100.0,0.0,100.0,92.98,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_17_spagetti.csv,1.0,0.6162790697674418,5.0,8.0,3.0,2.0,4.0,2.0,2.0,2.0,44.0,30.0,0.0,0.0,0.0,14.29,100.0,0.0,100.0,100.0,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_26_loop_par_noxor.csv,1.0,0.664576802507837,20.0,5.0,0.0,2.0,2.0,1.0,2.0,1.0,15.0,11.0,0.0,0.0,0.0,13.99,100.0,0.0,100.0,100.0,0.0,0.0,SEQ+PAR+LOOP
stress_tests,test_22_precTest.csv,1.0,0.7058823529411764,10.0,7.0,0.0,0.0,2.0,4.0,0.0,4.0,18.0,14.0,0.0,0.0,0.0,14.29,100.0,0.0,100.0,100.0,0.0,0.0,SEQ+PAR
stress_tests,test_13_deepLoop.csv,1.0,0.736842105263158,5.0,6.0,3.0,1.0,3.0,1.0,1.0,1.0,14.0,9.0,1.0,0.0,0.0,6.25,0.0,0.0,0.0,90.74,0.0,0.0,SEQ+XOR+PAR+LOOP
stress_tests,test_21_wildCards.csv,1.0,0.7556818181818181,20.0,6.0,6.0,0.0,3.0,1.0,0.0,1.0,30.0,18.0,0.0,0.0,0.0,38.96,45.0,45.0,0.0,100.0,0.0,0.0,SEQ+XOR+PAR
